Accession,ChIP-antibody,number of original peaks ,number of gene id 
GSM803424,GABP,51045,651
GSM831036,P300,5987,289
GSM908939,H2AK5ac,50140,460
GSM935348,MAX,27963,407
GSM935581,RAP74,16909,507
GSM1273670,H3K27ac,80602,600
GSM1316307,H3K27ac,53453,442
GSM1499823,H3K4me3,29027,549
GSM1505630,EOMES,12363,304
GSM1521726,H3K27ac,8319,472
GSM1551466,FOXA1,19218,281
GSM1571913,anti-H3K27acetyl,86275,555
GSM1579364,Nipbl,33014,469
GSM1579365,Nipbl,43906,477
GSM1701825,SOX2,36182,303
GSM1705251,H3K27Ac,52261,533
GSM1831748,H3K27Ac,122505,619
GSM1858625,foxa1,74398,344
GSM2159749,H3K4me3,33270,563
GSM2787359,H3K4me3,22326,571
GSM1545803,BirA,7766,355
GSM1550781,H3K4me3,33078,540
GSM1871963,H3K27ac,11619,388
GSM2082662,H3K4me3 ,947,229
GSM2108962,H3K4me3 ,82774,529
GSM2299078,Cdc73 ,285,69
GSM2310259,THAP1,40,42
